url,twitterUrl,id,text,retweetCount,replyCount,likeCount,quoteCount,createdAt,bookmarkCount,isRetweet,isQuote
https://x.com/fifflo/status/1971878685579034962,https://twitter.com/fifflo/status/1971878685579034962,1971878685579034962,#RHONairobi I'm trying to figure out where the glamour is. So bland even. https://t.co/uLN0zyu5Lq,0,0,0,0,Sat Sep 27 10:04:49 +0000 2025,1,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1970503423872377235,https://twitter.com/ShowmaxKenya/status/1970503423872377235,1970503423872377235,Let’s hear it! #KabiyesiShowmax #ShakaIlembe #RHONairobi https://t.co/3mIXPfeGcW,1,0,0,0,Tue Sep 23 15:00:01 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1965679289422209300,https://twitter.com/ShowmaxKenya/status/1965679289422209300,1965679289422209300,Drama alert! 🤩 Who's the star? 🤔 #RHONairobi #RHOLagos zinastream on Showmax 🎥🍿 https://t.co/ycFK5jMOIE https://t.co/6k7ccjG6op,1,0,0,0,Wed Sep 10 07:30:37 +0000 2025,1,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1964295081118118076,https://twitter.com/ShowmaxKenya/status/1964295081118118076,1964295081118118076,Can you really listen and not judge? 🤭 #SingleKiasi #RHONairobi zinastream on Showmax 🎥🍿 https://t.co/ycFK5jMgT6 https://t.co/4btWgZ0tq5,1,0,0,0,Sat Sep 06 11:50:16 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxOnline/status/1962455453297742139,https://twitter.com/ShowmaxOnline/status/1962455453297742139,1962455453297742139,We've given you some meetings to slot into your calendar. Showmax is Home of the Housewives! #RHODurban #RHOLagos #RHONairobi https://t.co/X56PPOfwV1,2,6,3,0,Mon Sep 01 10:00:15 +0000 2025,2,FALSE,FALSE
https://x.com/Javan_O_Ekhalie/status/1961479591295389719,https://twitter.com/Javan_O_Ekhalie/status/1961479591295389719,1961479591295389719,"#RHONairobi Rejah and Xenah/Zena are terrible people. Farah is the most mature, Vera is vibes, Dr. C is crazy but tolerable, and Minne is a nice person with energy. Season 3 should come out ASAP! @ShowmaxKenya",0,0,0,0,Fri Aug 29 17:22:31 +0000 2025,0,FALSE,FALSE
https://x.com/TheAnjolajesu/status/1960465448140485079,https://twitter.com/TheAnjolajesu/status/1960465448140485079,1960465448140485079,"When will #RHOnairobi return??? 😭

@ShowmaxKenya you’re giving me sleepless nights.

I need you to do somethinggggg! 🫵🏾",1,1,1,0,Tue Aug 26 22:12:41 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxZim/status/1958876820516049057,https://twitter.com/ShowmaxZim/status/1958876820516049057,1958876820516049057,"Who do you trust with each category? #RHODurbanS5 #RHONairobi #RHOA 
https://t.co/ubXU7vnw9N https://t.co/CatJCar1UK",0,0,0,0,Fri Aug 22 13:00:02 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1958103792848617730,https://twitter.com/ShowmaxKenya/status/1958103792848617730,1958103792848617730,Who serves drama better than anyone? 🤔 Tushow her name kwa comment then stream #RHONairobi #NaiRich #TheMommyClubNBO on Showmax 🎥🍿 https://t.co/qtqsVZQM41 https://t.co/dKIcHAraNY,0,1,0,1,Wed Aug 20 09:48:18 +0000 2025,0,FALSE,FALSE
https://x.com/thegrandame/status/1957500101737476133,https://twitter.com/thegrandame/status/1957500101737476133,1957500101737476133,"🇰🇪 THE REAL HOUSEWIVES OF NAIROBI
#RHONairobi
Country: Kenya 🇰🇪
Seasons: 2 (3 in the works?)
Language: english
Streaming: showmax https://t.co/3FxNRImDYJ",6,1,62,0,Mon Aug 18 17:49:27 +0000 2025,3,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1956257527840076023,https://twitter.com/ShowmaxKenya/status/1956257527840076023,1956257527840076023,"We all have a favourite. 🤩 Drop yours kwa comment, then stream #RHONairobi #JijiShowmax #RecklessShowmax on Showmax 🎥🍿 https://t.co/ycFK5jMgT6 https://t.co/TLapuakuCW",2,0,0,0,Fri Aug 15 07:31:54 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1955898122720166314,https://twitter.com/ShowmaxKenya/status/1955898122720166314,1955898122720166314,"Your birthday month style just dropped. 🤩 Retweet if we nailed it, then stream #RHONairobi #RHOA #RHOMiami zinastream on Showmax 🍿🎥  https://t.co/ycFK5jMgT6

Thread 👇👇 https://t.co/GPdNz315jO",1,1,0,0,Thu Aug 14 07:43:45 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxOnline/status/1951248693220253904,https://twitter.com/ShowmaxOnline/status/1951248693220253904,1951248693220253904,"It's Friday, and Fridays are for Housewives; get your fix 👉 https://t.co/AIIqGbUAFs

#RHODurban #RHOLagos #RHONairobi https://t.co/1adFxXIkD0",5,3,4,0,Fri Aug 01 11:48:35 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1949364128721862963,https://twitter.com/ShowmaxKenya/status/1949364128721862963,1949364128721862963,One call. One hero. Who’s saving you? 📞 #RHONairobi #Transplant #NewAmsterdam https://t.co/g2E7tGgEy3,1,0,1,0,Sun Jul 27 07:00:00 +0000 2025,0,FALSE,FALSE
https://x.com/Buzzcentralke/status/1948649811940401596,https://twitter.com/Buzzcentralke/status/1948649811940401596,1948649811940401596,‘I felt betrayed’ Minne Kariuki talks about fallout with Vera Sidika https://t.co/wKidAeigTr #Minnekariuki #Verasidika #RHONairobi #Realhousewivesofnairobi https://t.co/jrBvRgEY7N,0,0,0,0,Fri Jul 25 07:41:33 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1947927445912351009,https://twitter.com/ShowmaxKenya/status/1947927445912351009,1947927445912351009,Tuchapie only one destination utapick then stream #RHONairobi #RHOA #RHOMiami on Showmax 🎥🍿   https://t.co/qtqsVZQM41 https://t.co/OABrB0hKq2,1,0,0,0,Wed Jul 23 07:51:08 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1947318459789930588,https://twitter.com/ShowmaxKenya/status/1947318459789930588,1947318459789930588,Every queen got moods. What's yours? 🤔 #RHONairobi #RHOA zinastream on Showmax 🎥🍿https://t.co/qtqsVZQM41 https://t.co/jEvMktjoXd,2,0,0,1,Mon Jul 21 15:31:14 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1946589953095250323,https://twitter.com/ShowmaxKenya/status/1946589953095250323,1946589953095250323,Best reunion slay goes to...? 🤔 Tushow kwa comment then stream #RHONairobi on Showmax 🎥🍿 https://t.co/mCgpqzFVNV https://t.co/skTgaZHA4w,0,2,1,0,Sat Jul 19 15:16:25 +0000 2025,0,FALSE,FALSE
https://x.com/Buzzcentralke/status/1943602762287100322,https://twitter.com/Buzzcentralke/status/1943602762287100322,1943602762287100322,Farah Esmail confirms split from boyfriend she introduced on Real Housewives of Nairobi https://t.co/48U8I8cmB8 #Farahesmail #RealhousewivesofNairobi #RHONairobi https://t.co/1yMXGlAEZc,0,0,1,0,Fri Jul 11 09:26:23 +0000 2025,0,FALSE,FALSE
https://x.com/Buzzcentralke/status/1943601715552330169,https://twitter.com/Buzzcentralke/status/1943601715552330169,1943601715552330169,Real Housewives Farah Esmail on how husband's bipolar battle destroyed their marriage https://t.co/w9QKPy9DyK #Farahesmail #RealhousewivesofNairobi #RHONairobi https://t.co/pICOFnB4r6,0,0,1,0,Fri Jul 11 09:22:14 +0000 2025,0,FALSE,FALSE
https://x.com/Buzzcentralke/status/1943600543965827475,https://twitter.com/Buzzcentralke/status/1943600543965827475,1943600543965827475,Farah Esmail opens up about freezing her eggs for 11 years at prestigious Johns Hopkins Hospital https://t.co/pw5hEoD57h #Farahesmail #RealhousewivesofNairobi #RHONairobi #Johnshopkinshospital https://t.co/J711C2kfcR,0,0,1,0,Fri Jul 11 09:17:34 +0000 2025,0,FALSE,FALSE
https://x.com/Buzzcentralke/status/1943568122033713540,https://twitter.com/Buzzcentralke/status/1943568122033713540,1943568122033713540,https://t.co/8dvKcQKrjH #Farahesmail #RealhousewivesofNairobi #RHONairobi https://t.co/LKUg3Au1z0,0,0,0,0,Fri Jul 11 07:08:44 +0000 2025,0,FALSE,FALSE
https://x.com/ShowmaxKenya/status/1941412172057207089,https://twitter.com/ShowmaxKenya/status/1941412172057207089,1941412172057207089,Is this the moment you never skip? 🤔 #RHONairobi inastream on Showmax 🎥🍿 https://t.co/mCgpqzFVNV https://t.co/qCUtySyKBk,2,1,1,0,Sat Jul 05 08:21:46 +0000 2025,0,FALSE,FALSE
